Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
RGSharma,India,West Indies,62,29,4,4,213.79310344827584,0,0,0,0,0,0,Central Broward Regional Park Stadium Turf Ground,82
RGSharma,India,England,55,34,5,1,161.76470588235296,0,0,0,0,0,0,R Premadasa Stadium,70
RGSharma,India,Pakistan,2,2,0,0,100.0,0,0,0,0,0,0,M Chinnaswamy Stadium,2
RGSharma,India,Sri Lanka,3,5,0,0,60.0,17,2,24,1,0,12.0,Vidarbha Cricket Association Stadium Jamtha,20
RGSharma,India,Sri Lanka,15,14,3,0,107.14285714285714,0,0,0,0,0,0,Shere Bangla National Stadium,18
RGSharma,India,South Africa,50,41,7,2,121.95121951219512,0,0,0,0,0,0,Kingsmead,69
RGSharma,India,Bangladesh,1,5,0,0,20.0,0,0,0,0,0,0,Shere Bangla National Stadium,-5
RGSharma,India,Australia,12,17,1,0,70.58823529411765,0,0,0,0,0,0,Punjab Cricket Association IS Bindra Stadium Mohali,13
RGSharma,India,New Zealand,4,2,0,0,200.0,0,0,0,0,0,0,MA Chidambaram Stadium Chepauk,4
RGSharma,India,Ireland,52,45,4,1,115.55555555555554,0,0,0,0,0,0,Trent Bridge,66
RGSharma,India,Australia,60,48,5,2,125.0,0,0,0,0,0,0,Melbourne Cricket Ground,77
RGSharma,India,South Africa,29,28,3,0,103.57142857142858,11,1,15,0,0,15.0,Trent Bridge,32
RGSharma,India,Australia,79,48,4,6,164.58333333333331,0,0,0,0,0,0,Kensington Oval Bridgetown,103
RGSharma,India,Australia,8,5,0,1,160.0,0,0,0,0,0,0,Kingsmead,10
RGSharma,India,West Indies,5,9,1,0,55.55555555555556,0,0,0,0,0,0,Kensington Oval Bridgetown,2
RGSharma,India,West Indies,67,56,5,3,119.64285714285714,0,0,0,0,0,0,Central Broward Regional Park Stadium Turf Ground,86
RGSharma,India,Sri Lanka,43,36,1,1,119.44444444444444,0,0,0,0,0,0,JSCA International Stadium Complex,46
RGSharma,India,Sri Lanka,4,12,0,0,33.33333333333333,0,0,0,0,0,0,R Premadasa Stadium,-2
RGSharma,India,South Africa,9,8,2,0,112.5,0,0,0,0,0,0,M.Chinnaswamy Stadium,11
RGSharma,India,Pakistan,0,2,0,0,0.0,0,0,0,0,0,0,Shere Bangla National Stadium,-8
