Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
FHEdwards,West Indies,Bangladesh,0,0,0,0,0,19,3,35,0,0,11.666666666666666,New Wanderers Stadium,0,0,2007,-6
FHEdwards,West Indies,New Zealand,0,0,0,0,0,21,3,29,1,0,9.666666666666666,Central Broward Regional Park Stadium Turf Ground,0,1,2012,31
FHEdwards,West Indies,England,0,0,0,0,0,18,3,18,1,0,6.0,Queen's Park Oval Port of Spain,0,0,2009,25
FHEdwards,West Indies,Sri Lanka,0,0,0,0,0,12,2,24,0,0,12.0,Pallekele International Cricket Stadium,0,0,2012,-6
FHEdwards,West Indies,South Africa,0,0,0,0,0,20,3,24,0,0,8.0,New Wanderers Stadium,0,0,2008,0
FHEdwards,West Indies,New Zealand,0,0,0,0,0,12,2,31,0,0,15.5,Seddon Park,0,0,2008,-6
FHEdwards,West Indies,Australia,0,0,0,0,0,12,2,16,1,0,8.0,R Premadasa Stadium,0,0,2012,25
FHEdwards,West Indies,New Zealand,1,2,0,0,50.0,17,2,28,1,0,14.0,Eden Park,0,1,2008,24
FHEdwards,West Indies,England,0,0,0,0,0,25,4,34,0,0,8.5,Trent Bridge,0,1,2012,8
FHEdwards,West Indies,Ireland,0,0,0,0,0,17,2,23,1,0,11.5,R Premadasa Stadium,0,0,2012,19
FHEdwards,West Indies,Sri Lanka,0,0,0,0,0,11,1,37,0,0,37.0,Trent Bridge,0,0,2009,0
FHEdwards,West Indies,South Africa,0,0,0,0,0,21,3,14,1,0,4.666666666666667,St George's Park,0,0,2007,29
FHEdwards,West Indies,England,7,4,0,0,175.0,14,2,25,0,0,12.5,Kennington Oval,0,0,2011,1
FHEdwards,West Indies,Australia,0,0,0,0,0,11,1,13,0,0,13.0,Kensington Oval Bridgetown,0,0,2008,0
FHEdwards,West Indies,New Zealand,0,0,0,0,0,17,2,20,0,0,10.0,Central Broward Regional Park Stadium Turf Ground,0,1,2012,6
FHEdwards,West Indies,Australia,0,1,0,0,0.0,25,4,23,3,0,5.75,Kensington Oval Bridgetown,0,0,2012,69
FHEdwards,West Indies,India,0,0,0,0,0,25,4,24,3,0,6.0,Lord's,0,0,2009,75
FHEdwards,West Indies,South Africa,0,0,0,0,0,21,3,21,1,0,7.0,New Wanderers Stadium,0,0,2007,25
FHEdwards,West Indies,South Africa,2,2,0,0,100.0,25,4,34,1,0,8.5,Kennington Oval,0,0,2009,27
FHEdwards,West Indies,Australia,0,0,0,0,0,25,4,34,2,0,8.5,Kennington Oval,0,0,2009,50
