Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
ECJoyce,Ireland,Scotland,78,59,6,3,132.20338983050848,0,0,0,0,0,0,Dubai International Cricket Stadium,98
ECJoyce,Ireland,Afghanistan,11,18,2,0,61.111111111111114,0,0,0,0,0,0,Dubai International Cricket Stadium,11
ECJoyce,Ireland,West Indies,17,19,2,0,89.47368421052632,0,0,0,0,0,0,R Premadasa Stadium,19
ECJoyce,Ireland,Bangladesh,11,20,0,0,55.00000000000001,0,0,0,0,0,0,Civil Service Cricket Club Stormont,7
ECJoyce,Ireland,Scotland,78,59,6,3,132.20338983050848,0,0,0,0,0,0,Dubai International Cricket Stadium,98
ECJoyce,Ireland,Afghanistan,11,18,2,0,61.111111111111114,0,0,0,0,0,0,Dubai International Cricket Stadium,11
ECJoyce,Ireland,West Indies,17,19,2,0,89.47368421052632,0,0,0,0,0,0,R Premadasa Stadium,19
ECJoyce,Ireland,Bangladesh,11,20,0,0,55.00000000000001,0,0,0,0,0,0,Civil Service Cricket Club Stormont,7
ECJoyce,Ireland,Scotland,78,59,6,3,132.20338983050848,0,0,0,0,0,0,Dubai International Cricket Stadium,98
ECJoyce,Ireland,Afghanistan,11,18,2,0,61.111111111111114,0,0,0,0,0,0,Dubai International Cricket Stadium,11
ECJoyce,Ireland,West Indies,17,19,2,0,89.47368421052632,0,0,0,0,0,0,R Premadasa Stadium,19
ECJoyce,Ireland,Bangladesh,11,20,0,0,55.00000000000001,0,0,0,0,0,0,Civil Service Cricket Club Stormont,7
ECJoyce,Ireland,Australia,16,18,3,0,88.88888888888889,0,0,0,0,0,0,R Premadasa Stadium,19
ECJoyce,England,Australia,1,4,0,0,25.0,0,0,0,0,0,0,Sydney Cricket Ground,-5
ECJoyce,Ireland,Kenya,24,22,3,0,109.09090909090908,0,0,0,0,0,0,Mombasa Sports Club Ground,27
ECJoyce,Ireland,Zimbabwe,22,28,0,0,78.57142857142857,0,0,0,0,0,0,Sylhet Stadium,22
ECJoyce,Ireland,Netherlands,28,25,1,1,112.00000000000001,0,0,0,0,0,0,Sylhet Stadium,31
ECJoyce,Ireland,United Arab Emirates,43,39,4,1,110.25641025641026,0,0,0,0,0,0,Sylhet Stadium,49
ECJoyce,Ireland,West Indies,10,14,1,0,71.42857142857143,0,0,0,0,0,0,Sabina Park Kingston,11
ECJoyce,Ireland,Netherlands,25,34,1,0,73.52941176470588,0,0,0,0,0,0,Dubai International Cricket Stadium,26
ECJoyce,Ireland,Kenya,38,49,3,0,77.55102040816327,0,0,0,0,0,0,Mombasa Sports Club Ground,41
ECJoyce,Ireland,West Indies,40,49,2,0,81.63265306122449,0,0,0,0,0,0,Sabina Park Kingston,42
ECJoyce,Ireland,Scotland,78,59,6,3,132.20338983050848,0,0,0,0,0,0,Dubai International Cricket Stadium,98
ECJoyce,Ireland,Afghanistan,11,18,2,0,61.111111111111114,0,0,0,0,0,0,Dubai International Cricket Stadium,11
ECJoyce,Ireland,West Indies,17,19,2,0,89.47368421052632,0,0,0,0,0,0,R Premadasa Stadium,19
ECJoyce,Ireland,Bangladesh,11,20,0,0,55.00000000000001,0,0,0,0,0,0,Civil Service Cricket Club Stormont,7
ECJoyce,Ireland,Australia,16,18,3,0,88.88888888888889,0,0,0,0,0,0,R Premadasa Stadium,19
ECJoyce,England,Australia,1,4,0,0,25.0,0,0,0,0,0,0,Sydney Cricket Ground,-5
