Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
AMRahane,India,Pakistan,42,31,5,1,135.48387096774192,0,0,0,0,0,0,M Chinnaswamy Stadium,49
AMRahane,India,Sri Lanka,4,5,1,0,80.0,0,0,0,0,0,0,Maharashtra Cricket Association Stadium,5
AMRahane,India,South Africa,32,35,1,1,91.42857142857143,0,0,0,0,0,0,Shere Bangla National Stadium,35
AMRahane,India,England,8,5,0,1,160.0,0,0,0,0,0,0,Edgbaston,10
AMRahane,India,Pakistan,42,31,5,1,135.48387096774192,0,0,0,0,0,0,M Chinnaswamy Stadium,49
AMRahane,India,Sri Lanka,4,5,1,0,80.0,0,0,0,0,0,0,Maharashtra Cricket Association Stadium,5
AMRahane,India,South Africa,32,35,1,1,91.42857142857143,0,0,0,0,0,0,Shere Bangla National Stadium,35
AMRahane,India,England,8,5,0,1,160.0,0,0,0,0,0,0,Edgbaston,10
AMRahane,India,Pakistan,42,31,5,1,135.48387096774192,0,0,0,0,0,0,M Chinnaswamy Stadium,49
AMRahane,India,Sri Lanka,4,5,1,0,80.0,0,0,0,0,0,0,Maharashtra Cricket Association Stadium,5
AMRahane,India,South Africa,32,35,1,1,91.42857142857143,0,0,0,0,0,0,Shere Bangla National Stadium,35
AMRahane,India,England,8,5,0,1,160.0,0,0,0,0,0,0,Edgbaston,10
AMRahane,India,England,19,14,0,2,135.71428571428572,0,0,0,0,0,0,Subrata Roy Sahara Stadium,23
AMRahane,India,Pakistan,0,2,0,0,0.0,0,0,0,0,0,0,Shere Bangla National Stadium,-8
AMRahane,India,Pakistan,28,26,4,0,107.6923076923077,0,0,0,0,0,0,Sardar Patel Stadium Motera,32
AMRahane,India,West Indies,7,7,1,0,100.0,0,0,0,0,0,0,Central Broward Regional Park Stadium Turf Ground,8
AMRahane,India,West Indies,4,4,0,0,100.0,0,0,0,0,0,0,Central Broward Regional Park Stadium Turf Ground,4
AMRahane,India,Sri Lanka,25,22,3,0,113.63636363636364,0,0,0,0,0,0,JSCA International Stadium Complex,28
AMRahane,India,Sri Lanka,22,24,1,0,91.66666666666666,0,0,0,0,0,0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,23
AMRahane,India,Sri Lanka,21,25,0,1,84.0,0,0,0,0,0,0,Pallekele International Cricket Stadium,23
AMRahane,India,England,61,39,8,0,156.4102564102564,0,0,0,0,0,0,Old Trafford,77
AMRahane,India,England,3,5,0,0,60.0,0,0,0,0,0,0,Wankhede Stadium,1
AMRahane,India,Australia,19,17,2,0,111.76470588235294,0,0,0,0,0,0,Shere Bangla National Stadium,21
AMRahane,India,Zimbabwe,33,36,2,0,91.66666666666666,0,0,0,0,0,0,Harare Sports Club,35
AMRahane,India,England,0,3,0,0,0.0,0,0,0,0,0,0,Eden Gardens,-8
AMRahane,India,West Indies,40,36,2,0,111.11111111111111,0,0,0,0,0,0,Wankhede Stadium,42
AMRahane,India,Sri Lanka,3,8,0,0,37.5,0,0,0,0,0,0,Shere Bangla National Stadium,-3
AMRahane,India,Zimbabwe,4,3,1,0,133.33333333333331,0,0,0,0,0,0,Harare Sports Club,5
AMRahane,India,Pakistan,42,31,5,1,135.48387096774192,0,0,0,0,0,0,M Chinnaswamy Stadium,49
AMRahane,India,Sri Lanka,4,5,1,0,80.0,0,0,0,0,0,0,Maharashtra Cricket Association Stadium,5
AMRahane,India,South Africa,32,35,1,1,91.42857142857143,0,0,0,0,0,0,Shere Bangla National Stadium,35
AMRahane,India,England,8,5,0,1,160.0,0,0,0,0,0,0,Edgbaston,10
AMRahane,India,England,19,14,0,2,135.71428571428572,0,0,0,0,0,0,Subrata Roy Sahara Stadium,23
AMRahane,India,Pakistan,0,2,0,0,0.0,0,0,0,0,0,0,Shere Bangla National Stadium,-8
