Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
SRPatel,England,India,21,26,1,1,80.76923076923077,17,2,14,1,0,7.0,Eden Gardens,0,0,2011,49
SRPatel,England,West Indies,0,0,0,0,0,23,3,39,0,0,13.0,Pallekele International Cricket Stadium,0,0,2012,-6
SRPatel,England,South Africa,4,7,0,0,57.14285714285714,5,0,11,0,0,0,Riverside Ground,0,0,2012,0
SRPatel,England,Pakistan,0,1,0,0,0.0,17,2,23,0,0,11.5,Dubai International Cricket Stadium,0,0,2012,-14
SRPatel,England,India,24,22,1,1,109.09090909090908,0,0,0,0,0,0,Subrata Roy Sahara Stadium,0,1,2012,35
SRPatel,England,West Indies,0,0,0,0,0,23,3,35,0,0,11.666666666666666,Trent Bridge,0,0,2012,-6
SRPatel,England,India,25,17,3,0,147.05882352941177,17,2,34,0,0,17.0,Old Trafford,0,0,2011,22
SRPatel,England,Pakistan,13,15,1,0,86.66666666666667,5,0,17,0,0,0,Dubai International Cricket Stadium,0,0,2012,14
SRPatel,England,Sri Lanka,0,3,0,0,0.0,11,1,18,0,0,18.0,County Ground,0,0,2011,-8
SRPatel,England,India,9,10,1,0,90.0,0,0,0,0,0,0,Wankhede Stadium,0,1,2012,18
SRPatel,England,Sri Lanka,67,50,8,2,134.0,11,1,27,0,0,27.0,Pallekele International Cricket Stadium,0,0,2012,87
SRPatel,England,West Indies,0,0,0,0,0,23,3,23,2,0,7.666666666666667,Kennington Oval,0,0,2011,50
SRPatel,England,New Zealand,2,3,0,0,66.66666666666666,13,2,18,0,0,9.0,Eden Park,0,1,2013,8
SRPatel,England,New Zealand,6,7,1,0,85.71428571428571,11,1,20,0,0,20.0,Seddon Park,0,0,2013,7
SRPatel,England,Pakistan,16,10,1,1,160.0,23,3,18,0,0,6.0,Sheikh Zayed Stadium,0,0,2012,19
SRPatel,England,Afghanistan,0,0,0,0,0,17,2,6,2,0,3.0,R Premadasa Stadium,0,0,2012,56
SRPatel,England,West Indies,2,8,0,0,25.0,23,3,22,2,0,7.333333333333333,Kennington Oval,0,0,2011,46
