Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
WPMasakadza,Zimbabwe,Bangladesh,0,0,0,0,0,23,3,25,1,0,8.333333333333334,Sheikh Abu Naser Stadium,25
WPMasakadza,Zimbabwe,Singapore,0,0,0,0,0,6,1,14,1,0,14.0,Indian Association Ground,25
WPMasakadza,Zimbabwe,Hong Kong,2,5,0,0,40.0,23,3,34,1,0,11.333333333333334,Vidarbha Cricket Association Stadium Jamtha,15
WPMasakadza,Zimbabwe,Afghanistan,6,7,1,0,85.71428571428571,24,4,33,0,1,8.25,Vidarbha Cricket Association Stadium Jamtha,15
WPMasakadza,Zimbabwe,Scotland,4,7,0,0,57.14285714285714,23,3,28,4,0,9.333333333333334,Vidarbha Cricket Association Stadium Jamtha,106
WPMasakadza,Zimbabwe,Singapore,0,0,0,0,0,11,1,20,0,0,20.0,Indian Association Ground,0
WPMasakadza,Zimbabwe,Nepal,0,0,0,0,0,23,3,19,1,0,6.333333333333333,Indian Association Ground,25
WPMasakadza,Zimbabwe,Bangladesh,6,8,0,0,75.0,23,3,32,1,0,10.666666666666666,Sheikh Abu Naser Stadium,27
WPMasakadza,Zimbabwe,Afghanistan,0,0,0,0,0,23,3,39,1,0,13.0,Queens Sports Club,19
WPMasakadza,Zimbabwe,Afghanistan,4,1,0,0,400.0,5,0,12,0,0,0,Queens Sports Club,4
WPMasakadza,Zimbabwe,Bangladesh,0,0,0,0,0,23,3,25,1,0,8.333333333333334,Sheikh Abu Naser Stadium,25
WPMasakadza,Zimbabwe,Nepal,0,0,0,0,0,23,3,19,1,0,6.333333333333333,Indian Association Ground,25
WPMasakadza,Zimbabwe,Bangladesh,6,8,0,0,75.0,23,3,32,1,0,10.666666666666666,Sheikh Abu Naser Stadium,27
WPMasakadza,Zimbabwe,Scotland,4,7,0,0,57.14285714285714,23,3,28,4,0,9.333333333333334,Vidarbha Cricket Association Stadium Jamtha,106
WPMasakadza,Zimbabwe,Singapore,0,0,0,0,0,11,1,20,0,0,20.0,Indian Association Ground,0
WPMasakadza,Zimbabwe,Singapore,0,0,0,0,0,6,1,14,1,0,14.0,Indian Association Ground,25
WPMasakadza,Zimbabwe,Afghanistan,0,0,0,0,0,23,3,39,1,0,13.0,Queens Sports Club,19
WPMasakadza,Zimbabwe,Afghanistan,4,1,0,0,400.0,5,0,12,0,0,0,Queens Sports Club,4
WPMasakadza,Zimbabwe,Afghanistan,6,7,1,0,85.71428571428571,24,4,33,0,1,8.25,Vidarbha Cricket Association Stadium Jamtha,15
WPMasakadza,Zimbabwe,Hong Kong,2,5,0,0,40.0,23,3,34,1,0,11.333333333333334,Vidarbha Cricket Association Stadium Jamtha,15
WPMasakadza,Zimbabwe,Bangladesh,0,0,0,0,0,23,3,25,1,0,8.333333333333334,Sheikh Abu Naser Stadium,25
WPMasakadza,Zimbabwe,Nepal,0,0,0,0,0,23,3,19,1,0,6.333333333333333,Indian Association Ground,25
WPMasakadza,Zimbabwe,Bangladesh,6,8,0,0,75.0,23,3,32,1,0,10.666666666666666,Sheikh Abu Naser Stadium,27
WPMasakadza,Zimbabwe,Scotland,4,7,0,0,57.14285714285714,23,3,28,4,0,9.333333333333334,Vidarbha Cricket Association Stadium Jamtha,106
WPMasakadza,Zimbabwe,Singapore,0,0,0,0,0,11,1,20,0,0,20.0,Indian Association Ground,0
WPMasakadza,Zimbabwe,Singapore,0,0,0,0,0,6,1,14,1,0,14.0,Indian Association Ground,25
WPMasakadza,Zimbabwe,Afghanistan,0,0,0,0,0,23,3,39,1,0,13.0,Queens Sports Club,19
WPMasakadza,Zimbabwe,Afghanistan,4,1,0,0,400.0,5,0,12,0,0,0,Queens Sports Club,4
WPMasakadza,Zimbabwe,Afghanistan,6,7,1,0,85.71428571428571,24,4,33,0,1,8.25,Vidarbha Cricket Association Stadium Jamtha,15
WPMasakadza,Zimbabwe,Hong Kong,2,5,0,0,40.0,23,3,34,1,0,11.333333333333334,Vidarbha Cricket Association Stadium Jamtha,15
WPMasakadza,Zimbabwe,Bangladesh,0,0,0,0,0,23,3,25,1,0,8.333333333333334,Sheikh Abu Naser Stadium,25
WPMasakadza,Zimbabwe,Bangladesh,0,0,0,0,0,23,3,25,1,0,8.333333333333334,Sheikh Abu Naser Stadium,25
WPMasakadza,Zimbabwe,Nepal,0,0,0,0,0,23,3,19,1,0,6.333333333333333,Indian Association Ground,25
