Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
MHCross,Scotland,Singapore,1,3,0,0,33.33333333333333,0,0,0,0,0,0,ICC Academy,0,1,2019,3
MHCross,Scotland,Hong Kong,27,22,4,0,122.72727272727273,0,0,0,0,0,0,Mission Road Ground Mong Kok,0,2,2016,47
MHCross,Scotland,Ireland,48,31,6,1,154.83870967741936,0,0,0,0,0,0,Bready Cricket Club Magheramason,0,1,2015,64
MHCross,Scotland,Netherlands,22,15,4,0,146.66666666666666,0,0,0,0,0,0,Grange Cricket Club Ground Raeburn Place,0,1,2015,34
MHCross,Scotland,Papua New Guinea,40,23,4,1,173.91304347826087,0,0,0,0,0,0,ICC Academy,0,1,2019,54
MHCross,Scotland,Ireland,0,1,0,0,0.0,0,0,0,0,0,0,The Village Malahide,0,0,2019,-8
MHCross,Scotland,Zimbabwe,0,1,0,0,0.0,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,0,0,2016,-8
MHCross,Scotland,Kenya,24,14,2,1,171.42857142857142,0,0,0,0,0,0,ICC Academy Ground No 2,0,1,2019,36
MHCross,Scotland,Namibia,9,11,1,0,81.81818181818183,0,0,0,0,0,0,ICC Academy,0,0,2019,10
MHCross,Scotland,Hong Kong,22,14,1,2,157.14285714285714,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,0,0,2016,27
MHCross,Scotland,Hong Kong,39,15,5,2,260.0,0,0,0,0,0,0,The Village Malahide,0,2,2015,64
MHCross,Scotland,Netherlands,52,45,5,1,115.55555555555554,0,0,0,0,0,0,Dubai International Cricket Stadium,0,1,2019,75
MHCross,Scotland,Netherlands,4,13,0,0,30.76923076923077,0,0,0,0,0,0,Sheikh Zayed Stadium,0,0,2017,-2
MHCross,Scotland,Hong Kong,7,5,0,0,140.0,0,0,0,0,0,0,Mission Road Ground Mong Kok,0,0,2016,7
MHCross,Scotland,United Arab Emirates,20,20,1,2,100.0,0,0,0,0,0,0,ICC Academy,0,1,2016,33
MHCross,Scotland,Netherlands,1,2,0,0,50.0,0,0,0,0,0,0,Sheikh Zayed Stadium,0,0,2013,-3
MHCross,Scotland,Ireland,35,16,3,3,218.75,0,0,0,0,0,0,Dubai International Cricket Stadium,0,0,2017,44
MHCross,Scotland,Oman,47,41,3,2,114.6341463414634,0,0,0,0,0,0,Dubai International Cricket Stadium,1,0,2017,66
MHCross,Scotland,Afghanistan,37,22,2,3,168.1818181818182,0,0,0,0,0,0,Grange Cricket Club Ground Raeburn Place,0,0,2015,45
MHCross,Scotland,Afghanistan,2,2,0,0,100.0,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,1,0,2016,14
