Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
KAPollard,West Indies,India,22,16,0,2,137.5,18,3,30,1,0,10.0,Central Broward Regional Park Stadium Turf Ground,0,0,2016,49
KAPollard,West Indies,Sri Lanka,3,12,0,0,25.0,12,2,14,1,0,7.0,Kennington Oval,0,1,2009,30
KAPollard,West Indies,Pakistan,9,17,0,0,52.94117647058824,12,2,14,0,0,7.0,Dubai International Cricket Stadium,0,0,2016,5
KAPollard,West Indies,Australia,5,9,0,0,55.55555555555556,11,1,12,0,0,12.0,Sydney Cricket Ground,0,1,2010,9
KAPollard,West Indies,Australia,12,10,2,0,120.0,24,4,23,1,0,5.75,Bellerive Oval,0,1,2010,49
KAPollard,West Indies,New Zealand,63,30,5,4,210.0,0,0,0,0,0,0,Central Broward Regional Park Stadium Turf Ground,0,0,2012,84
KAPollard,West Indies,South Africa,20,24,0,0,83.33333333333334,12,2,13,1,0,6.5,Kingsmead,0,0,2015,45
KAPollard,West Indies,Zimbabwe,45,25,3,3,180.0,6,1,6,0,0,6.0,Sir Vivian Richards Stadium North Sound,0,0,2013,54
KAPollard,West Indies,England,4,1,0,0,400.0,11,1,12,0,0,12.0,Queen's Park Oval Port of Spain,0,1,2009,12
KAPollard,West Indies,England,1,5,0,0,20.0,0,0,0,0,0,0,Pallekele International Cricket Stadium,0,2,2012,11
KAPollard,West Indies,Sri Lanka,1,6,0,0,16.666666666666664,0,0,0,0,0,0,Pallekele International Cricket Stadium,0,0,2012,-5
KAPollard,West Indies,New Zealand,38,24,4,2,158.33333333333331,26,4,37,2,0,9.25,Seddon Park,0,0,2008,94
KAPollard,West Indies,Zimbabwe,0,0,0,0,0,5,0,8,0,0,0,Sir Vivian Richards Stadium North Sound,0,1,2013,8
KAPollard,West Indies,India,17,11,0,2,154.54545454545453,13,2,23,1,0,11.5,Kensington Oval Bridgetown,0,1,2010,48
KAPollard,West Indies,Australia,10,8,1,0,125.0,0,0,0,0,0,0,R Premadasa Stadium,0,0,2012,11
KAPollard,West Indies,India,8,8,1,0,100.0,0,0,0,0,0,0,Central Broward Regional Park Stadium Turf Ground,0,1,2019,17
KAPollard,West Indies,New Zealand,7,4,0,0,175.0,11,1,25,1,0,25.0,Eden Park,0,0,2008,32
KAPollard,West Indies,South Africa,8,9,1,0,88.88888888888889,0,0,0,0,0,0,Newlands,0,0,2015,9
KAPollard,West Indies,Australia,13,14,1,1,92.85714285714286,0,0,0,0,0,0,Beausejour Stadium Gros Islet,0,0,2010,16
KAPollard,West Indies,England,23,14,1,2,164.28571428571428,5,0,15,0,0,0,Trent Bridge,0,0,2012,28
KAPollard,West Indies,Pakistan,23,10,2,2,229.99999999999997,12,2,17,1,0,8.5,Arnos Vale Ground Kingstown,0,0,2013,54
KAPollard,West Indies,Sri Lanka,5,4,0,0,125.0,24,4,27,1,0,6.75,R Premadasa Stadium,0,1,2015,38
KAPollard,West Indies,India,58,48,1,6,120.83333333333333,0,0,0,0,0,0,Providence Stadium Guyana,0,0,2019,79
KAPollard,West Indies,Pakistan,16,17,0,0,94.11764705882352,0,0,0,0,0,0,Sheikh Zayed Stadium,0,0,2016,16
KAPollard,West Indies,Australia,54,26,2,5,207.6923076923077,5,0,16,0,0,0,Beausejour Stadium Gros Islet,0,1,2012,82
KAPollard,West Indies,Sri Lanka,19,12,3,0,158.33333333333331,18,3,45,0,0,15.0,Trent Bridge,0,0,2009,16
KAPollard,West Indies,England,0,1,0,0,0.0,5,0,16,0,0,0,Providence Stadium,0,1,2010,0
KAPollard,West Indies,Ireland,8,6,1,0,133.33333333333331,0,0,0,0,0,0,Providence Stadium,0,0,2010,9
KAPollard,West Indies,New Zealand,28,22,3,0,127.27272727272727,11,1,13,0,0,13.0,Pallekele International Cricket Stadium,0,0,2012,31
KAPollard,West Indies,South Africa,27,17,2,1,158.8235294117647,25,4,22,2,0,5.5,Sir Vivian Richards Stadium North Sound,0,0,2010,83
KAPollard,West Indies,South Africa,7,6,1,0,116.66666666666667,5,0,12,0,0,0,New Wanderers Stadium,0,1,2015,16
KAPollard,West Indies,Sri Lanka,26,20,2,2,130.0,24,4,42,2,0,10.5,Pallekele International Cricket Stadium,0,0,2015,78
KAPollard,West Indies,Australia,1,3,0,0,33.33333333333333,5,0,6,0,0,0,Kensington Oval Bridgetown,0,1,2012,3
KAPollard,West Indies,India,0,0,0,0,0,11,1,7,0,0,7.0,Lord's,0,0,2009,0
KAPollard,West Indies,India,49,50,2,4,98.0,0,0,0,0,0,0,Central Broward Regional Park Stadium Turf Ground,0,2,2019,75
KAPollard,West Indies,India,13,8,1,1,162.5,0,0,0,0,0,0,Central Broward Regional Park Stadium Turf Ground,0,0,2016,16
KAPollard,West Indies,Pakistan,3,4,0,0,75.0,0,0,0,0,0,0,Queen's Park Oval Port of Spain,0,1,2017,11
KAPollard,West Indies,Sri Lanka,9,11,1,0,81.81818181818183,24,4,38,0,0,9.5,Kensington Oval Bridgetown,0,1,2010,16
KAPollard,West Indies,Pakistan,3,6,0,0,50.0,0,0,0,0,0,0,Queen's Park Oval Port of Spain,0,0,2017,-1
KAPollard,West Indies,New Zealand,13,12,2,0,108.33333333333333,18,3,20,1,0,6.666666666666667,Windsor Park Roseau,0,0,2014,40
KAPollard,West Indies,Sri Lanka,2,4,0,0,50.0,0,0,0,0,0,0,R Premadasa Stadium,0,1,2012,6
KAPollard,West Indies,South Africa,12,14,1,0,85.71428571428571,6,1,14,0,0,14.0,Sir Vivian Richards Stadium North Sound,0,0,2010,13
KAPollard,West Indies,England,9,6,0,1,150.0,5,0,10,1,0,0,Kennington Oval,0,1,2009,44
KAPollard,West Indies,Bangladesh,15,10,0,2,150.0,0,0,0,0,0,0,Shere Bangla National Stadium,0,0,2012,19
KAPollard,West Indies,Pakistan,14,28,1,0,50.0,6,1,10,0,0,10.0,Kensington Oval Bridgetown,0,0,2017,11
KAPollard,West Indies,Australia,38,15,3,3,253.33333333333331,5,0,6,2,0,0,R Premadasa Stadium,0,0,2012,97
KAPollard,West Indies,Australia,26,17,2,1,152.94117647058823,23,3,30,3,0,10.0,Brisbane Cricket Ground Woolloongabba,0,0,2013,103
KAPollard,West Indies,Pakistan,18,13,2,0,138.46153846153845,0,0,0,0,0,0,Dubai International Cricket Stadium,0,2,2016,36
KAPollard,West Indies,Zimbabwe,1,5,0,0,20.0,26,4,24,0,0,6.0,Queen's Park Oval Port of Spain,0,1,2010,3
KAPollard,West Indies,South Africa,6,4,1,0,150.0,17,2,29,1,0,14.5,Kennington Oval,0,1,2009,34
KAPollard,West Indies,New Zealand,16,18,0,1,88.88888888888889,13,2,15,0,0,7.5,Windsor Park Roseau,0,0,2014,18
KAPollard,West Indies,Pakistan,49,37,3,2,132.43243243243242,0,0,0,0,0,0,Arnos Vale Ground Kingstown,0,2,2013,72
KAPollard,West Indies,Australia,0,0,0,0,0,11,1,17,1,0,17.0,Kennington Oval,0,0,2009,25
KAPollard,West Indies,New Zealand,3,4,0,0,75.0,0,0,0,0,0,0,Queenstown Events Centre,0,0,2008,3
KAPollard,West Indies,India,22,32,0,2,68.75,18,3,21,0,0,7.0,Kennington Oval,0,0,2013,24
KAPollard,West Indies,Bangladesh,26,21,2,1,123.80952380952381,0,0,0,0,0,0,National Cricket Stadium St George's,0,1,2014,38
KAPollard,West Indies,England,24,27,1,2,88.88888888888889,48,8,37,0,0,4.625,MA Chidambaram Stadium Chepauk,0,0,2011,33
KAPollard,West Indies,Bangladesh,89,71,5,6,125.35211267605635,0,0,0,0,0,0,National Cricket Stadium St George's,0,2,2014,130
KAPollard,West Indies,India,119,112,4,10,106.25,12,2,14,0,0,7.0,MA Chidambaram Stadium Chepauk,0,0,2011,159
KAPollard,West Indies,Zimbabwe,17,13,0,1,130.76923076923077,0,0,0,0,0,0,Arnos Vale Ground Kingstown,0,0,2010,19
KAPollard,West Indies,Bangladesh,85,76,5,8,111.8421052631579,0,0,0,0,0,0,Shere Bangla National Stadium,0,1,2012,122
KAPollard,West Indies,Sri Lanka,0,4,0,0,0.0,18,3,25,1,0,8.333333333333334,Queen's Park Oval Port of Spain,0,0,2013,17
KAPollard,West Indies,England,8,19,0,0,42.10526315789473,17,2,17,0,0,8.5,County Ground,1,0,2009,14
KAPollard,West Indies,Australia,0,1,0,0,0.0,0,0,0,0,0,0,Providence Stadium,0,0,2016,-8
KAPollard,West Indies,Sri Lanka,0,4,0,0,0.0,0,0,0,0,0,0,Sabina Park Kingston,0,2,2013,8
KAPollard,West Indies,New Zealand,16,30,2,0,53.333333333333336,0,0,0,0,0,0,Warner Park Basseterre,0,0,2012,14
KAPollard,West Indies,South Africa,20,36,0,1,55.55555555555556,56,9,65,2,0,7.222222222222222,Warner Park Basseterre,0,0,2016,68
KAPollard,West Indies,Australia,33,40,2,2,82.5,0,0,0,0,0,0,Beausejour Stadium Gros Islet,0,1,2012,47
KAPollard,West Indies,Australia,20,25,1,1,80.0,30,5,33,1,0,6.6,Kensington Oval Bridgetown,0,0,2016,48
KAPollard,West Indies,Bangladesh,10,7,1,0,142.85714285714286,0,0,0,0,0,0,Warner Park Basseterre,0,0,2014,11
KAPollard,West Indies,Pakistan,3,11,0,0,27.27272727272727,37,6,27,1,0,4.5,Providence Stadium,0,0,2013,26
KAPollard,West Indies,Pakistan,22,29,1,0,75.86206896551724,29,4,44,0,0,11.0,Sharjah Cricket Stadium,0,0,2016,19
KAPollard,West Indies,Australia,20,18,1,1,111.11111111111111,36,6,42,0,0,7.0,Kensington Oval Bridgetown,0,1,2016,31
KAPollard,West Indies,India,4,7,0,0,57.14285714285714,6,1,8,0,0,8.0,Sabina Park Kingston,0,0,2013,0
KAPollard,West Indies,New Zealand,7,10,1,0,70.0,0,0,0,0,0,0,Warner Park Basseterre,0,1,2012,16
KAPollard,West Indies,Bangladesh,41,25,2,3,164.0,30,5,39,0,0,7.8,Shere Bangla National Stadium,0,0,2011,49
KAPollard,West Indies,Australia,36,43,2,2,83.72093023255815,17,2,12,0,0,6.0,Arnos Vale Ground Kingstown,0,1,2012,50
KAPollard,West Indies,South Africa,10,17,1,0,58.82352941176471,17,2,20,0,0,10.0,National Cricket Stadium St George's,0,0,2007,5
KAPollard,West Indies,England,30,31,0,2,96.7741935483871,29,4,31,2,0,7.75,Beausejour Stadium Gros Islet,0,0,2009,84
KAPollard,West Indies,South Africa,29,39,1,0,74.35897435897436,47,7,40,2,0,5.714285714285714,Sir Vivian Richards Stadium North Sound,0,0,2010,82
KAPollard,West Indies,Ireland,94,56,8,5,167.85714285714286,30,5,33,0,0,6.6,Punjab Cricket Association Stadium Mohali,0,1,2011,128
KAPollard,West Indies,England,0,0,0,0,0,35,5,16,2,0,3.2,Kensington Oval Bridgetown,0,1,2009,64
KAPollard,West Indies,Australia,62,57,4,2,108.77192982456141,41,6,45,1,0,7.5,Brisbane Cricket Ground Woolloongabba,0,1,2010,111
KAPollard,West Indies,Bangladesh,15,26,2,0,57.692307692307686,0,0,0,0,0,0,Sheikh Abu Naser Stadium,0,2,2012,29
KAPollard,West Indies,New Zealand,8,10,1,0,80.0,0,0,0,0,0,0,Sabina Park Kingston,1,0,2012,21
KAPollard,West Indies,Zimbabwe,22,42,1,1,52.38095238095239,23,3,9,0,1,3.0,Arnos Vale Ground Kingstown,1,0,2010,47
KAPollard,West Indies,Zimbabwe,36,21,3,3,171.42857142857142,30,5,23,1,0,4.6,Arnos Vale Ground Kingstown,0,1,2010,82
KAPollard,West Indies,India,70,75,6,2,93.33333333333333,24,4,20,0,0,5.0,Sir Vivian Richards Stadium North Sound,0,1,2011,98
KAPollard,West Indies,Bangladesh,0,1,0,0,0.0,0,0,0,0,0,0,Zahur Ahmed Chowdhury Stadium,0,1,2011,0
KAPollard,West Indies,India,2,4,0,0,50.0,0,0,0,0,0,0,Nehru Stadium,0,0,2014,-2
KAPollard,West Indies,Australia,0,2,0,0,0.0,0,0,0,0,0,0,Western Australia Cricket Association Ground,0,0,2013,-8
KAPollard,West Indies,South Africa,25,19,1,2,131.57894736842107,58,9,43,2,0,4.777777777777778,Queen's Park Oval Port of Spain,1,0,2010,96
KAPollard,West Indies,Pakistan,9,7,0,1,128.57142857142858,24,4,34,0,0,8.5,Sharjah Cricket Stadium,0,1,2016,19
KAPollard,West Indies,Afghanistan,3,5,0,0,60.0,5,0,1,0,0,0,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,0,2019,1
KAPollard,West Indies,Australia,1,3,0,0,33.33333333333333,0,0,0,0,0,0,Western Australia Cricket Association Ground,0,0,2013,-5
KAPollard,West Indies,Australia,109,136,11,2,80.14705882352942,31,5,22,0,0,4.4,Sydney Cricket Ground,0,0,2013,144
KAPollard,West Indies,Pakistan,30,61,3,1,49.18032786885246,23,3,22,0,0,7.333333333333333,Kennington Oval,1,0,2013,41
KAPollard,West Indies,Bangladesh,2,14,0,0,14.285714285714285,0,0,0,0,0,0,Shere Bangla National Stadium,0,1,2012,4
KAPollard,West Indies,Australia,45,54,4,2,83.33333333333334,56,9,59,2,0,6.555555555555555,Melbourne Cricket Ground,0,0,2010,103
KAPollard,West Indies,India,1,3,0,0,33.33333333333333,60,10,51,1,0,5.1,MA Chidambaram Stadium Chepauk,0,1,2011,30
KAPollard,West Indies,England,8,12,0,0,66.66666666666666,47,7,47,2,0,6.714285714285714,Providence Stadium,0,0,2009,56
KAPollard,West Indies,India,24,14,3,1,171.42857142857142,49,8,39,2,1,4.875,Sabina Park Kingston,0,0,2011,91
KAPollard,West Indies,India,40,51,1,3,78.43137254901961,11,1,10,0,0,10.0,Feroz Shah Kotla,0,2,2014,63
KAPollard,West Indies,England,42,36,3,2,116.66666666666667,50,8,47,2,0,5.875,Providence Stadium,0,0,2009,101
KAPollard,West Indies,New Zealand,1,5,0,0,20.0,0,0,0,0,0,0,Westpac Stadium,0,0,2009,-5
